Name,Type,Category,Power,Accuracy,PP,Effect,Prob of effect
Brave Bird,Flying,physical,120,100,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Breaking Swipe,Dragon,physical,60,100,100,"<td class=""cell-long-text"">Hits multiple opponents and lowers their attack.</td>",100
Breakneck Blitz,Normal,,-,-,—,"<td class=""cell-long-text"">Normal type Z-Move.</td>",-
Brick Break,Fighting,physical,75,100,—,"<td class=""cell-long-text"">Breaks through Reflect and Light Screen barriers.</td>",-
Brine,Water,special,65,100,—,"<td class=""cell-long-text"">Power doubles if opponent's HP is less than 50%.</td>",-
Brutal Swing,Dark,physical,60,100,—,"<td class=""cell-long-text"">The user swings its body around violently to inflict damage on everything in its vicinity.</td>",-
Bubble,Water,special,40,100,10,"<td class=""cell-long-text"">May lower opponent's Speed.</td>",10
Bubble Beam,Water,special,65,100,10,"<td class=""cell-long-text"">May lower opponent's Speed.</td>",10
Bug Bite,Bug,physical,60,100,—,"<td class=""cell-long-text"">Receives the effect from the opponent's held berry.</td>",-
Bug Buzz,Bug,special,90,100,10,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",10
Bulk Up,Fighting,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack and Defense.</td>",-
Bulldoze,Ground,physical,60,100,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Bullet Punch,Steel,physical,40,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Bullet Seed,Grass,physical,25,100,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Burn Up,Fire,special,130,100,—,"<td class=""cell-long-text"">To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.</td>",-
Burning Bulwark,Fire,status,-,∞,—,"<td class=""cell-long-text""></td>",-
Burning Jealousy,Fire,special,70,100,—,"<td class=""cell-long-text"">Hits all opponents, and burns any that have had their stats boosted.</td>",-
Buzzy Buzz,Electric,special,90,100,100,"<td class=""cell-long-text"">Paralyzes the opponent.</td>",100
Calm Mind,Psychic,status,-,-,—,"<td class=""cell-long-text"">Raises user's Special Attack and Special Defense.</td>",-
Camouflage,Normal,status,-,-,—,"<td class=""cell-long-text"">Changes user's type according to the location.</td>",-
Captivate,Normal,status,-,100,—,"<td class=""cell-long-text"">Sharply lowers opponent's Special Attack if opposite gender.</td>",-
Catastropika,Electric,physical,210,-,—,"<td class=""cell-long-text"">Pikachu-exclusive Z-Move.</td>",-
Ceaseless Edge,Dark,physical,65,90,—,"<td class=""cell-long-text"">Sets up Spikes.</td>",-
Celebrate,Normal,status,-,-,—,"<td class=""cell-long-text"">The Pokémon congratulates you on your special day. No battle effect.</td>",-
Charge,Electric,status,-,-,—,"<td class=""cell-long-text"">Raises user's Special Defense and next Electric move's power increases.</td>",-
Charge Beam,Electric,special,50,90,70,"<td class=""cell-long-text"">May raise user's Special Attack.</td>",70
Charm,Fairy,status,-,100,—,"<td class=""cell-long-text"">Sharply lowers opponent's Attack.</td>",-
Chatter,Flying,special,65,100,100,"<td class=""cell-long-text"">Confuses opponent.</td>",100
Chilling Water,Water,special,50,100,—,"<td class=""cell-long-text"">Lowers opponent's Attack.</td>",-
Chilly Reception,Ice,status,-,-,—,"<td class=""cell-long-text"">Switches out and summons a snowstorm lasting 5 turns.</td>",-
Chip Away,Normal,physical,70,100,—,"<td class=""cell-long-text"">Ignores opponent's stat changes.</td>",-
Chloroblast,Grass,special,150,95,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Circle Throw,Fighting,physical,60,90,—,"<td class=""cell-long-text"">In battles, the opponent switches. In the wild, the Pokémon runs.</td>",-
Clamp,Water,physical,35,85,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
Clanging Scales,Dragon,special,110,100,100,"<td class=""cell-long-text"">Lowers user's Defense.</td>",100
Clangorous Soul,Dragon,status,-,100,100,"<td class=""cell-long-text"">Raises all user's stats but loses HP.</td>",100
Clangorous Soulblaze,Dragon,special,185,-,—,"<td class=""cell-long-text"">Kommo-o exclusive Z-Move.</td>",-
Clear Smog,Poison,special,50,-,—,"<td class=""cell-long-text"">Removes all of the target's stat changes.</td>",-
Close Combat,Fighting,physical,120,100,100,"<td class=""cell-long-text"">Lowers user's Defense and Special Defense.</td>",100
Coaching,Fighting,status,-,-,—,"<td class=""cell-long-text"">Boosts Attack and Defense of a teammate.</td>",-
Coil,Poison,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack, Defense and Accuracy.</td>",-
Collision Course,Fighting,physical,100,100,—,"<td class=""cell-long-text"">Boosted even more if it's super-effective.</td>",-
Combat Torque,Fighting,physical,100,100,—,"<td class=""cell-long-text"">May paralyze the opponent.</td>",-
Comet Punch,Normal,physical,18,85,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Comeuppance,Dark,physical,-,100,—,"<td class=""cell-long-text"">Deals more damage to the opponent that last inflicted damage on it.</td>",-
Confide,Normal,status,-,-,100,"<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>",100
Confuse Ray,Ghost,status,-,100,—,"<td class=""cell-long-text"">Confuses opponent.</td>",-
Confusion,Psychic,special,50,100,10,"<td class=""cell-long-text"">May confuse opponent.</td>",10
Constrict,Normal,physical,10,100,10,"<td class=""cell-long-text"">May lower opponent's Speed by one stage.</td>",10
Continental Crush,Rock,,-,-,—,"<td class=""cell-long-text"">Rock type Z-Move.</td>",-
Conversion,Normal,status,-,-,—,"<td class=""cell-long-text"">Changes user's type to that of its first move.</td>",-
Conversion 2,Normal,status,-,-,—,"<td class=""cell-long-text"">User changes type to become resistant to opponent's last move.</td>",-
Copycat,Normal,status,-,-,—,"<td class=""cell-long-text"">Copies opponent's last move.</td>",-
Core Enforcer,Dragon,special,100,100,—,"<td class=""cell-long-text"">Suppresses the target's ability if the target has already moved.</td>",-
Corkscrew Crash,Steel,,-,-,—,"<td class=""cell-long-text"">Steel type Z-Move.</td>",-
Corrosive Gas,Poison,status,-,100,—,"<td class=""cell-long-text"">Removes opponent's items.</td>",-
Cosmic Power,Psychic,status,-,-,—,"<td class=""cell-long-text"">Raises user's Defense and Special Defense.</td>",-
Cotton Guard,Grass,status,-,-,—,"<td class=""cell-long-text"">Drastically raises user's Defense.</td>",-
Cotton Spore,Grass,status,-,100,—,"<td class=""cell-long-text"">Sharply lowers opponent's Speed.</td>",-
Counter,Fighting,physical,-,100,—,"<td class=""cell-long-text"">When hit by a Physical Attack, user strikes back with 2x power.</td>",-
Court Change,Normal,status,-,100,—,"<td class=""cell-long-text"">Swaps the effects on either side of the field.</td>",-
Covet,Normal,physical,60,100,—,"<td class=""cell-long-text"">Opponent's item is stolen by the user.</td>",-
Crabhammer,Water,physical,100,90,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Crafty Shield,Fairy,status,-,-,—,"<td class=""cell-long-text"">Protects the Pokémon from status moves.</td>",-
Cross Chop,Fighting,physical,100,80,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Cross Poison,Poison,physical,70,100,10,"<td class=""cell-long-text"">High critical hit ratio. May poison opponent.</td>",10
Crunch,Dark,physical,80,100,20,"<td class=""cell-long-text"">May lower opponent's Defense.</td>",20
Crush Claw,Normal,physical,75,95,50,"<td class=""cell-long-text"">May lower opponent's Defense.</td>",50
Crush Grip,Normal,physical,-,100,—,"<td class=""cell-long-text"">More powerful when opponent has higher HP.</td>",-
Curse,Ghost,status,-,-,—,"<td class=""cell-long-text"">Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.</td>",-
Cut,Normal,physical,50,95,—,"<td class=""cell-long-text""></td>",-
Dark Pulse,Dark,special,80,100,20,"<td class=""cell-long-text"">May cause flinching.</td>",20
Dark Void,Dark,status,-,50,—,"<td class=""cell-long-text"">Puts all adjacent opponents to sleep.</td>",-
Darkest Lariat,Dark,physical,85,100,—,"<td class=""cell-long-text"">Ignores opponent's stat changes.</td>",-
Dazzling Gleam,Fairy,special,80,100,—,"<td class=""cell-long-text"">Hits all adjacent opponents.</td>",-
Decorate,Fairy,status,-,-,100,"<td class=""cell-long-text"">Sharply raises target's Attack and Special Attack.</td>",100
Defend Order,Bug,status,-,-,—,"<td class=""cell-long-text"">Raises user's Defense and Special Defense.</td>",-
Defense Curl,Normal,status,-,-,—,"<td class=""cell-long-text"">Raises user's Defense.</td>",-
Defog,Flying,status,-,-,—,"<td class=""cell-long-text"">Lowers opponent's Evasiveness and clears fog.</td>",-
Destiny Bond,Ghost,status,-,-,—,"<td class=""cell-long-text"">If the user faints, the opponent also faints.</td>",-
Detect,Fighting,status,-,-,—,"<td class=""cell-long-text"">Protects the user, but may fail if used consecutively.</td>",-
Devastating Drake,Dragon,,-,-,—,"<td class=""cell-long-text"">Dragon type Z-Move.</td>",-
Diamond Storm,Rock,physical,100,95,50,"<td class=""cell-long-text"">May sharply raise user's Defense.</td>",50
Dig,Ground,physical,80,100,—,"<td class=""cell-long-text"">Digs underground on first turn, attacks on second. Can also escape from caves.</td>",-
Dire Claw,Poison,physical,80,100,—,"<td class=""cell-long-text"">May poison, paralyze or put the opponent to sleep.</td>",-
Disable,Normal,status,-,100,—,"<td class=""cell-long-text"">Opponent can't use its last attack for a few turns.</td>",-
Disarming Voice,Fairy,special,40,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Discharge,Electric,special,80,100,30,"<td class=""cell-long-text"">May paralyze opponent.</td>",30
Dive,Water,physical,80,100,—,"<td class=""cell-long-text"">Dives underwater on first turn, attacks on second turn.</td>",-
Dizzy Punch,Normal,physical,70,100,20,"<td class=""cell-long-text"">May confuse opponent.</td>",20
Doodle,Normal,status,-,100,—,"<td class=""cell-long-text"">Changes the abilities of the user and its teammates to that of the target.</td>",-
Doom Desire,Steel,special,140,100,—,"<td class=""cell-long-text"">Damage occurs 2 turns later.</td>",-
Double Hit,Normal,physical,35,90,—,"<td class=""cell-long-text"">Hits twice in one turn.</td>",-
Double Iron Bash,Steel,physical,60,100,30,"<td class=""cell-long-text"">Hits twice in one turn; may cause flinching.</td>",30
Double Kick,Fighting,physical,30,100,—,"<td class=""cell-long-text"">Hits twice in one turn.</td>",-
Double Shock,Electric,physical,120,100,—,"<td class=""cell-long-text"">After using this move, the user will no longer be Electric type.</td>",-
Double Slap,Normal,physical,15,85,—,"<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>",-
Double Team,Normal,status,-,-,—,"<td class=""cell-long-text"">Raises user's Evasiveness.</td>",-
Double-Edge,Normal,physical,120,100,—,"<td class=""cell-long-text"">User receives recoil damage.</td>",-
Draco Meteor,Dragon,special,130,90,100,"<td class=""cell-long-text"">Sharply lowers user's Special Attack.</td>",100
Dragon Ascent,Flying,physical,120,100,100,"<td class=""cell-long-text"">Lowers user's Defense and Special Defense.</td>",100
Dragon Breath,Dragon,special,60,100,30,"<td class=""cell-long-text"">May paralyze opponent.</td>",30
Dragon Cheer,Dragon,status,-,∞,—,"<td class=""cell-long-text""></td>",-
Dragon Claw,Dragon,physical,80,100,—,"<td class=""cell-long-text""></td>",-
Dragon Dance,Dragon,status,-,-,—,"<td class=""cell-long-text"">Raises user's Attack and Speed.</td>",-
Dragon Darts,Dragon,physical,50,100,—,"<td class=""cell-long-text"">User attacks twice.</td>",-
Dragon Energy,Dragon,special,150,100,—,"<td class=""cell-long-text"">The higher the user's HP, the higher the power.</td>",-
Dragon Hammer,Dragon,physical,90,100,—,"<td class=""cell-long-text"">The user uses its body like a hammer to attack the target and inflict damage.</td>",-
Dragon Pulse,Dragon,special,85,100,—,"<td class=""cell-long-text""></td>",-
Dragon Rage,Dragon,special,-,100,—,"<td class=""cell-long-text"">Always inflicts 40 HP.</td>",-
Dragon Rush,Dragon,physical,100,75,20,"<td class=""cell-long-text"">May cause flinching.</td>",20
Dragon Tail,Dragon,physical,60,90,—,"<td class=""cell-long-text"">In battles, the opponent switches. In the wild, the Pokémon runs.</td>",-
Drain Punch,Fighting,physical,75,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>",-
Draining Kiss,Fairy,special,50,100,—,"<td class=""cell-long-text"">User recovers most the HP inflicted on opponent.</td>",-
Dream Eater,Psychic,special,100,100,—,"<td class=""cell-long-text"">User recovers half the HP inflicted on a sleeping opponent.</td>",-
Drill Peck,Flying,physical,80,100,—,"<td class=""cell-long-text""></td>",-
Drill Run,Ground,physical,80,95,—,"<td class=""cell-long-text"">High critical hit ratio.</td>",-
Drum Beating,Grass,physical,80,100,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Dual Chop,Dragon,physical,40,90,—,"<td class=""cell-long-text"">Hits twice in one turn.</td>",-
Dual Wingbeat,Flying,physical,40,90,—,"<td class=""cell-long-text"">The user slams the target with its wings. The target is hit twice in a row.</td>",-
Dynamax Cannon,Dragon,special,100,100,—,"<td class=""cell-long-text"">Damage doubles if opponent is Dynamaxed.</td>",-
Dynamic Punch,Fighting,physical,100,50,100,"<td class=""cell-long-text"">Confuses opponent.</td>",100
Earth Power,Ground,special,90,100,10,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",10
Earthquake,Ground,physical,100,100,—,"<td class=""cell-long-text"">Power is doubled if opponent is underground from using Dig.</td>",-
Echoed Voice,Normal,special,40,100,—,"<td class=""cell-long-text"">Power increases each turn.</td>",-
Eerie Impulse,Electric,status,-,100,—,"<td class=""cell-long-text"">Sharply lowers opponent's Special Attack.</td>",-
Eerie Spell,Psychic,special,80,100,—,"<td class=""cell-long-text"">Deals damage and reduces opponent's PP.</td>",-
Egg Bomb,Normal,physical,100,75,—,"<td class=""cell-long-text""></td>",-
Electric Terrain,Electric,status,-,-,—,"<td class=""cell-long-text"">Prevents all Pokémon from falling asleep for 5 turns.</td>",-
Electrify,Electric,status,-,-,—,"<td class=""cell-long-text"">Changes the target's move to Electric type.</td>",-
Electro Ball,Electric,special,-,100,—,"<td class=""cell-long-text"">The faster the user, the stronger the attack.</td>",-
Electro Drift,Electric,special,100,100,—,"<td class=""cell-long-text"">Boosted even more if it's super-effective.</td>",-
Electro Shot,Electric,special,130,100,—,"<td class=""cell-long-text"">Charges on first turn, attacks on second.</td>",-
Electroweb,Electric,special,55,95,100,"<td class=""cell-long-text"">Lowers opponent's Speed.</td>",100
Embargo,Dark,status,-,100,—,"<td class=""cell-long-text"">Opponent cannot use items.</td>",-
Ember,Fire,special,40,100,10,"<td class=""cell-long-text"">May burn opponent.</td>",10
Encore,Normal,status,-,100,—,"<td class=""cell-long-text"">Forces opponent to keep using its last move for 3 turns.</td>",-
Endeavor,Normal,physical,-,100,—,"<td class=""cell-long-text"">Reduces opponent's HP to same as user's.</td>",-
Endure,Normal,status,-,-,—,"<td class=""cell-long-text"">Always left with at least 1 HP, but may fail if used consecutively.</td>",-
Energy Ball,Grass,special,90,100,10,"<td class=""cell-long-text"">May lower opponent's Special Defense.</td>",10
Entrainment,Normal,status,-,100,—,"<td class=""cell-long-text"">Makes target's ability same as user's.</td>",-
Eruption,Fire,special,150,100,—,"<td class=""cell-long-text"">Stronger when the user's HP is higher.</td>",-
Esper Wing,Psychic,special,80,100,—,"<td class=""cell-long-text"">High critical hit ratio. Raises user's Speed.</td>",-
Eternabeam,Dragon,special,160,90,—,"<td class=""cell-long-text"">User can't move on the next turn.</td>",-
Expanding Force,Psychic,special,80,100,—,"<td class=""cell-long-text"">Increases power and hits all opponents on Psychic Terrain.</td>",-
Explosion,Normal,physical,250,100,—,"<td class=""cell-long-text"">User faints.</td>",-
Extrasensory,Psychic,special,80,100,10,"<td class=""cell-long-text"">May cause flinching.</td>",10
Extreme Evoboost,Normal,status,-,-,100,"<td class=""cell-long-text"">Eevee-exclusive Z-Move. Sharply raises all stats.</td>",100
Extreme Speed,Normal,physical,80,100,—,"<td class=""cell-long-text"">User attacks first.</td>",-
Facade,Normal,physical,70,100,—,"<td class=""cell-long-text"">Power doubles if user is burned, poisoned, or paralyzed.</td>",-
Fairy Lock,Fairy,status,-,-,—,"<td class=""cell-long-text"">Prevents fleeing in the next turn.</td>",-
Fairy Wind,Fairy,special,40,100,—,"<td class=""cell-long-text""></td>",-
Fake Out,Normal,physical,40,100,100,"<td class=""cell-long-text"">User attacks first, foe flinches. Only usable on first turn.</td>",100
Fake Tears,Dark,status,-,100,—,"<td class=""cell-long-text"">Sharply lowers opponent's Special Defense.</td>",-
False Surrender,Dark,physical,80,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
False Swipe,Normal,physical,40,100,—,"<td class=""cell-long-text"">Always leaves opponent with at least 1 HP.</td>",-
Feather Dance,Flying,status,-,100,—,"<td class=""cell-long-text"">Sharply lowers opponent's Attack.</td>",-
Feint,Normal,physical,30,100,—,"<td class=""cell-long-text"">Only hits if opponent uses Protect or Detect in the same turn.</td>",-
Feint Attack,Dark,physical,60,∞,—,"<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>",-
Fell Stinger,Bug,physical,50,100,—,"<td class=""cell-long-text"">Drastically raises user's Attack if target is KO'd.</td>",-
Fickle Beam,Dragon,special,80,100,—,"<td class=""cell-long-text"">May deal double damage.</td>",-
Fiery Dance,Fire,special,80,100,50,"<td class=""cell-long-text"">May raise user's Special Attack.</td>",50
Fiery Wrath,Dark,special,90,100,20,"<td class=""cell-long-text"">May cause flinching.</td>",20
Fillet Away,Normal,status,-,-,—,"<td class=""cell-long-text"">Lowers HP but sharply boosts Attack, Special Attack, and Speed.</td>",-
Final Gambit,Fighting,special,-,100,—,"<td class=""cell-long-text"">Inflicts damage equal to the user's remaining HP. User faints.</td>",-
Fire Blast,Fire,special,110,85,10,"<td class=""cell-long-text"">May burn opponent.</td>",10
Fire Fang,Fire,physical,65,95,10,"<td class=""cell-long-text"">May cause flinching and/or burn opponent.</td>",10
Fire Lash,Fire,physical,80,100,100,"<td class=""cell-long-text"">The user strikes the target with a burning lash. This also lowers the target's Defense stat.</td>",100
Fire Pledge,Fire,special,80,100,—,"<td class=""cell-long-text"">Added effects appear if combined with Grass Pledge or Water Pledge.</td>",-
Fire Punch,Fire,physical,75,100,10,"<td class=""cell-long-text"">May burn opponent.</td>",10
Fire Spin,Fire,special,35,85,100,"<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>",100
First Impression,Bug,physical,90,100,—,"<td class=""cell-long-text"">Although this move has great power, it only works the first turn the user is in battle.</td>",-
Fishious Rend,Water,physical,85,100,—,"<td class=""cell-long-text"">If the user attacks before the target, the power of this move is doubled.</td>",-
Fissure,Ground,physical,-,30,—,"<td class=""cell-long-text"">One-Hit-KO, if it hits.</td>",-
Flail,Normal,physical,-,100,—,"<td class=""cell-long-text"">The lower the user's HP, the higher the power.</td>",-
